1;129;5.0;10.5;15.0;5.5;9.5;1.5;
0;156;0.5;2.0;0.5;5.5;2.0;5.0;
0;152;2.5;4.5;2.0;4.5;4.0;4.0;
0;132;6.0;7.5;5.0;5.5;5.0;7.0;
0;158;8.5;9.5;4.0;7.5;3.0;7.0;
0;114;13.0;15.5;1.0;3.5;2.0;6.0;
1;151;11.5;14.0;9.5;2.5;12.0;1.0;
1;76;17.0;22.0;15.0;1.5;10.0;0.0;
0;159;20.0;21.5;2.5;1.5;2.0;0.0;
0;157;27.5;31.5;8.0;5.5;4.0;3.0;
1;140;26.5;28.0;11.0;4.5;12.0;6.0;
1;133;29.0;31.5;13.0;5.5;13.0;8.0;
0;107;35.5;37.5;8.0;4.5;10.0;5.0;
1;142;34.0;35.5;15.5;6.5;17.0;5.0;
1;154;38.0;43.5;18.0;2.5;16.0;8.0;
0;140;38.5;40.0;11.0;4.5;12.0;6.0;
1;155;44.0;47.5;15.5;7.5;18.0;4.0;
0;151;48.0;50.5;9.5;2.5;12.0;1.0;
1;79;51.0;57.5;18.0;0.5;17.0;7.0;
0;129;53.5;62.5;10.0;1.5;1.0;9.0;
0;100;70.0;71.5;8.5;7.5;7.0;6.0;
0;149;75.0;78.5;9.5;9.5;6.0;9.0;
0;87;87.0;88.5;8.5;0.5;7.0;1.0;
1;97;81.0;84.0;16.0;5.5;19.0;3.0;
1;128;88.0;92.0;15.0;5.5;19.0;5.0;
0;143;90.0;92.0;7.5;2.5;8.5;0.5;
0;123;95.5;96.5;5.0;2.5;4.0;2.0;
1;138;96.0;97.0;15.0;2.5;14.0;2.0;
0;91;98.0;105.5;2.5;1.5;4.0;9.0;
1;74;100.5;104.0;14.0;5.5;16.0;2.0;
1;47;107.5;110.0;13.0;5.5;15.0;8.0;
0;144;107.0;109.0;4.0;7.5;6.0;6.0;
0;103;112.0;113.0;9.0;8.5;8.0;9.0;
1;133;112.0;114.0;13.0;8.5;11.0;9.0;
0;58;121.0;126.5;0.0;9.5;0.0;4.0;
1;137;122.0;123.5;19.0;9.5;19.0;8.0;
0;;126.5;134.0;0.0;4.0;7.5;4.0;
1;143;138.0;147.5;8.5;0.5;18.0;1.0;
0;159;140.0;142.5;2.5;0.5;0.0;0.0;
1;64;157.0;163.5;8.5;0.5;15.0;0.0;
0;120;157.0;164.0;7.0;8.5;9.5;1.5;
0;136;171.0;179.5;4.0;8.5;7.0;0.0;
1;147;173.0;180.5;17.0;9.5;14.0;2.0;
0;;181.5;183.5;7.0;0.0;9.0;0.0;
1;120;185.5;189.0;10.0;1.5;13.0;5.0;
